listingId,picklistId_mongo,warehouseId_mongo,bin_id,error massage
LSTMSCECNPQDHJDRUXT5DIGU6,P200721-A173E2096CEC,4,A108B800,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTMSCECNPQDHJDRUXT5DIGU6,P200721-A173E2096CEC,4,A108G960,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTMSCECNPQDHJDRUXT5DIGU6,P200721-A173E2096CEC,4,A108G960,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTFRNEHMNAX9HZYKCVKL6IZT,P200721-A173E2096CEC,4,A111A450,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTDPRFUCW5QYQBFFUGWXVQLH,P200721-A173E2096CEC,4,A109G1610,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTDEOFUVGXGV95FXD9INYSJY,P200721-A173E2096CEC,4,A123C130,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTFCKECXG4KTDSSHYZTA8MTC,P200721-A173E2096CEC,4,A123B290,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTFCKECXG4KTDSSHYZTA8MTC,P200721-A173E2096CEC,4,A109D530,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTFCKEF6KYTYZN3EVBFHZKKU,P200721-A173E2096CEC,4,A123B290,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTFLTFTJZAUJGFUGVM8MF63R,P200721-A173E2096CEC,4,A108A810,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTFLTFTJZAUJGFUGVM8MF63R,P200721-A173E2096CEC,4,A108A810,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTCKBF35U6DZGCSWZVRVDFJ4,P200721-A173E2096CEC,4,A107G940,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTCKBF35U6DZGCSWZVRVDFJ4,P200721-A173E2096CEC,4,A107G870,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTFLTFUBQ3FCAVVPTZ1Y31RF,P200721-A173E2096CEC,4,A108D950,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
